design;pore_hydro;surf_hydro;all_hydro;beta_prop;category
TM1_0029_0004.fasta;-1.1325;2.874468085106382;0.22032520325203264;na;native_tmb
TM31_0125_0005.fasta;-1.3675;3.042553191489361;0.3455284552845529;na;native_tmb
TM27_0044_0004.fasta;-0.6974999999999996;2.7638297872340423;0.3487804878048779;na;native_tmb
TM30_0014_0005.fasta;-1.1024999999999998;3.15531914893617;0.3715447154471546;na;native_tmb
TM33_0063_0004.fasta;-0.8299999999999997;2.8170212765957436;0.32032520325203256;na;native_tmb
TM34_0020_0003.fasta;-1.0574999999999999;3.0638297872340425;0.4268292682926829;na;native_tmb
TM38_0105_0005.fasta;-1.1249999999999998;3.106382978723404;0.394308943089431;na;native_tmb
TM40_0022_0001.fasta;-1.005;3.2574468085106374;0.6658536585365853;na;native_tmb
TM40_0170_0004.fasta;-1.2825;2.865957446808511;0.2577235772357725;na;native_tmb
TM47_0037_0003.fasta;-0.9799999999999999;3.206382978723404;0.4837398373983739;na;native_tmb
TM29_0181_0004.fasta;-1.0299999999999998;3.0234042553191487;0.383739837398374;na;native_tmb
TM6_0181_0005.fasta;-1.39;2.9404255319148933;0.33252032520325214;na;native_tmb
TM0_0001_0002.fasta;-0.6499999999999997;2.940425531914893;0.4674796747967479;na;native_tmb
TM11_0191_0003.fasta;-0.9649999999999999;3.0382978723404257;0.38211382113821146;na;native_tmb
TM40_0182_0001.fasta;-1.4725;2.897872340425531;0.10487804878048786;na;native_tmb
TM37_0004_0003.fasta;-1.1199999999999999;3.080851063829787;0.3699186991869917;na;native_tmb
TM47_0010_0003.fasta;-1.3849999999999996;2.859574468085106;0.2357723577235774;na;native_tmb
TM5_0163_0001.fasta;-1.1599999999999997;3.0489361702127655;0.35609756097560985;na;native_tmb
TM17_0087_0002.fasta;-0.8749999999999998;3.2702127659574476;0.5715447154471544;na;native_tmb
TM20_0077_0004.fasta;-1.0025000000000002;3.146808510638298;0.39756097560975623;na;native_tmb
TM3_0182_0003.fasta;-1.155;3.182978723404255;0.4447154471544716;na;native_tmb
TM7_0123_0004.fasta;-1.2825;3.097872340425533;0.275609756097561;na;native_tmb
TM10_0109_0003.fasta;-0.6399999999999997;3.019148936170213;0.4487804878048781;na;native_tmb
TM12_0050_0004.fasta;-0.9700000000000001;3.221276595744682;0.4560975609756096;na;native_tmb
TM15_0005_0002.fasta;-1.0750000000000002;2.9255319148936163;0.35447154471544723;na;native_tmb
TM1_0172_0001.fasta;-0.9774999999999998;3.4063829787234035;0.6487804878048782;na;native_tmb
TM30_0014_0002.fasta;-0.45999999999999963;3.2042553191489356;0.6666666666666664;na;native_tmb
TM34_0020_0004.fasta;-0.7499999999999998;3.259574468085106;0.5837398373983741;na;native_tmb
TM41_0155_0001.fasta;-0.8875000000000002;2.9744680851063827;0.43983739837398383;na;native_tmb
TM42_0194_0002.fasta;-0.8899999999999997;3.025531914893617;0.391869918699187;na;native_tmb
TM43_0185_0005.fasta;-1.2199999999999998;2.8468085106382968;0.18536585365853672;na;native_tmb
TM47_0010_0005.fasta;-1.0100000000000002;3.031914893617021;0.367479674796748;na;native_tmb
TM47_0037_0004.fasta;-1.1275;3.2191489361702126;0.43089430894308933;na;native_tmb
TM7_0186_0001.fasta;-0.7999999999999999;2.9617021276595734;0.5260162601626016;na;native_tmb
TM13_0157_0005.fasta;-1.1624999999999999;2.98936170212766;0.2796747967479676;na;native_tmb
TM14_0188_0004.fasta;-1.4449999999999998;3.129787234042553;0.3333333333333334;na;native_tmb
TM24_0048_0002.fasta;-0.8400000000000001;3.125531914893617;0.6439024390243899;na;native_tmb
TM17_0150_0002.fasta;-0.8399999999999996;3.0872340425531912;0.46341463414634143;na;native_tmb
TM25_0198_0002.fasta;-1.2874999999999999;3.0638297872340425;0.33333333333333365;na;native_tmb
TM2_0051_0003.fasta;-0.82;3.0446808510638297;0.4365853658536587;na;native_tmb
